epoch,train_accuracy,test_accuracy
1,0.9866640681552425,0.9839643652561247
2,0.9864970209922601,0.9840757238307349
3,0.9864691797984297,0.9841870824053452
4,0.9864691797984297,0.9841870824053452
5,0.9864413386045994,0.9841870824053452
6,0.986413497410769,0.9841870824053452
7,0.986413497410769,0.9841870824053452
8,0.986413497410769,0.9841870824053452
9,0.9863856562169386,0.9841870824053452
10,0.9863856562169386,0.9841870824053452
11,0.9863856562169386,0.9841870824053452
12,0.9863856562169386,0.9841870824053452
